_id,sessionID,siteID,stationID,spaceID,clusterID,userID,timezone,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,userInput_WhPerMile,userInput_kWhRequested,userInput_milesRequested,userInput_minutesAvailable,userInput_requestedDeparture,userInput_paymentRequired
5b193481b,JP-000000,jpl,JP-021,JP-CA-021,jpl-2,8414,America/Los_Angeles,2018-06-28 15:06:09.272554,2018-06-28 20:58:04.968075,2018-06-28 16:30:13.156792,9.247,320.0,10.39,32.5,351,2018-06-28 20:58:04.968075,False
5bf5dca0,JP-000001,jpl,JP-020,JP-CA-020,jpl-2,8765,America/Los_Angeles,2018-06-19 09:08:20.253105,2018-06-19 11:39:57.772141,2018-06-19 10:36:35.517365,9.708,350.0,10.2,29.1,151,2018-06-19 11:39:57.772141,False
5b19cc986,CA-000003,caltech,CA-043,CA-CA-043,caltech-4,4703,America/Los_Angeles,2018-05-18 09:41:26.051172,2018-05-18 13:41:00.545109,2018-05-18 10:35:53.927445,5.991,350.0,6.7,19.1,239,2018-05-18 13:41:00.545109,True
5b4030c14,CA-000005,caltech,CA-037,CA-CA-037,caltech-3,2118,America/Los_Angeles,2018-05-15 14:36:41.781805,2018-05-15 17:51:41.563573,2018-05-15 16:03:52.248020,9.589,290.0,11.18,38.6,194,2018-05-15 17:51:41.563573,True
5b2f44e25,CA-000006,caltech,CA-007,CA-CA-007,caltech-0,6347,America/Los_Angeles,2018-07-11 10:10:39.325907,2018-07-11 14:26:32.833013,2018-07-11 11:06:11.717425,6.109,290.0,7.38,25.4,255,2018-07-11 14:26:32.833013,True
5b2145e85,CA-000007,caltech,CA-012,CA-CA-012,caltech-1,4268,America/Los_Angeles,2018-05-08 09:41:41.440432,2018-05-08 18:11:20.584230,2018-05-08 10:51:30.776523,7.68,400.0,8.66,21.6,509,2018-05-08 18:11:20.584230,False
5b2d6911f,CA-000008,caltech,CA-022,CA-CA-022,caltech-2,7512,America/Los_Angeles,2018-07-13 08:30:24.005915,2018-07-13 16:53:45.979557,2018-07-13 10:07:25.539831,10.673,320.0,11.44,35.8,503,2018-07-13 16:53:45.979557,True
5b17cd924,CA-000009,caltech,CA-025,CA-CA-025,caltech-2,4048,America/Los_Angeles,2018-05-10 13:45:16.822048,2018-05-10 17:33:27.130971,2018-05-10 15:41:54.765054,12.83,320.0,13.66,42.7,228,2018-05-10 17:33:27.130971,True
5b20e746c,CA-000011,caltech,CA-040,CA-CA-040,caltech-4,1634,America/Los_Angeles,2018-06-02 11:03:28.605882,2018-06-02 22:53:50.216863,2018-06-02 13:10:44.197703,13.999,290.0,15.73,54.2,710,2018-06-02 22:53:50.216863,False
5b2e9fa35,CA-000012,caltech,CA-036,CA-CA-036,caltech-3,3469,America/Los_Angeles,2018-05-09 09:34:40.317628,2018-05-09 13:01:20.352066,2018-05-09 11:08:17.288489,10.298,320.0,10.91,34.1,206,2018-05-09 13:01:20.352066,False
